,id,address,tower_name,building_type,rooms,garages,useful_area,latitude,longitude,point_estimate,minimum_estimate,maximum_estimate
0,0,"Alameda Itu, 254",Torre única,Apartamento,3,1,177,-23.56619840,-46.65689950,2111490,1794760,2428210
1,1,"Alameda Santos, 1398",Torre única,Apartamento,2,1,65,-23.56387020,-46.65560060,608870,517539,700200
2,2,"Avenida Paulista, 1195",Torre única,Apartamento,3,1,170,-23.56406910,-46.65356350,2102470,1787100,2417840
3,3,"Avenida Paulista, 1195",Torre única,Apartamento,4,3,223,-23.56406910,-46.65356350,2757950,2344260,3171640
4,4,"Alameda Santos, 1126",Torre única,Apartamento,3,1,100,-23.56533980,-46.65376750,1125720,956862,1294580
5,5,"Alameda Santos, 1126",Torre única,Apartamento,4,2,158,-23.56533980,-46.65376750,1778640,1511840,2045430
6,6,"Alameda Santos, 1325",Torre única,Apartamento,3,1,117,-23.56438620,-46.65524340,1055190,896909,1213470
7,7,"Avenida Paulista, 639",Torre única,Apartamento,3,1,180,-23.56748990,-46.64947270,1797000,1527450,2066550
8,8,"Avenida Paulista, 639",Torre única,Cobertura,3,1,350,-23.56748990,-46.64947270,3494160,2970040,4018280
9,9,"Alameda Santos, 734",Torre única,Apartamento,3,1,135,-23.56782630,-46.65079140,1339990,1138990,1540980
10,10,"Alameda Santos, 778",Torre única,Apartamento,3,1,140,-23.56761280,-46.65104170,1324360,1125710,1523020
11,11,"Alameda Itu, 402",Torre única,Apartamento,3,2,166,-23.56511880,-46.65773160,2066520,1756540,2376490
12,12,"Alameda Casa Branca, 327",Casa Branca,Apartamento,2,1,88,-23.56417040,-46.65790930,1046110,889194,1203030
13,13,"Alameda Casa Branca, 327",Casa Branca,Apartamento,2,-1,98,-23.56417040,-46.65790930,1164990,990238,1339730
14,14,"Alameda Casa Branca, 327",Casa Branca,Apartamento,3,2,159,-23.56417040,-46.65790930,1890130,1606610,2173650
15,15,"Alameda Casa Branca, 327",Casa Branca,Apartamento,3,2,225,-23.56417040,-46.65790930,2674710,2273510,3075920
16,16,"Alameda Casa Branca, 299",Torre única,Apartamento,3,2,223,-23.56395180,-46.65767250,2665610,2265770,3065450
17,17,"Alameda Itu, 282",Torre única,Apartamento,3,1,124,-23.56594860,-46.65700400,1191460,1012740,1370180
18,18,"Alameda Itu, 284",Torre única,Apartamento,3,1,70,-23.56570390,-46.65692880,776781,660264,893298
19,19,"Rua Pamplona, 943",Torre única,Apartamento,2,1,88,-23.56593020,-46.65577870,1192760,989994,1407460
20,20,"Alameda Campinas, 696",Torre única,Apartamento,3,1,198,-23.56714790,-46.65465530,1983640,1686100,2281190
21,21,"Alameda Itu, 136",Torre única,Apartamento,2,1,86,-23.56681120,-46.65602230,982990,835542,1130440
22,22,"Alameda Itu, 112",Torre única,Apartamento,3,2,160,-23.56686980,-46.65558350,1729690,1470230,1989140
23,23,"Alameda Campinas, 701",Torre única,Apartamento,2,2,96,-23.56737850,-46.65445530,1482680,1260280,1705090
24,24,"Alameda Campinas, 701",Torre única,Cobertura,3,2,159,-23.56737850,-46.65445530,2455690,2087340,2824050
25,25,"Alameda Campinas, 557",Torre única,Apartamento,3,1,180,-23.56644440,-46.65348550,1809650,1592490,2044910
26,26,"Alameda Campinas, 557",Torre única,Apartamento,3,2,270,-23.56644440,-46.65348550,2714480,2388740,3067360
27,27,"Alameda Campinas, 541",Torre única,Apartamento,3,1,160,-23.56623150,-46.65342790,1939130,1648260,2230000
28,28,"Alameda Campinas, 541",Torre única,Apartamento,3,1,177,-23.56623150,-46.65342790,2145160,1823380,2466930
29,29,"Alameda Campinas, 541",Torre única,Apartamento,3,1,204,-23.56623150,-46.65342790,2472390,2101530,2843240
30,30,"Alameda Santos, 1039",Torre única,Apartamento,3,2,235,-23.56616140,-46.65303920,2156960,1833410,2480500
31,31,"Alameda Santos, 927",Torre única,Apartamento,2,1,74,-23.56678230,-46.65235560,1012930,860992,1164870
32,32,"Alameda Santos, 687",Torre única,Apartamento,2,1,69,-23.56821340,-46.65054040,797288,677695,916881
33,33,"Alameda Santos, 687",Torre única,Apartamento,4,1,140,-23.56821340,-46.65054040,1617690,1375030,1860340
34,34,"Alameda Santos, 721",Torre única,Cobertura,3,1,220,-23.56798060,-46.65076700,1766660,1501660,2031650
35,35,"Alameda Santos, 721",Torre única,Apartamento,3,1,250,-23.56798060,-46.65076700,2007560,1706430,2308700
36,36,"Alameda Santos, 663",Marquesa de Santos,Apartamento,3,2,120,-23.56847790,-46.65049700,1306760,1110750,1502780
37,37,"Alameda Itu, 433",Torre única,Apartamento,4,2,222,-23.56527890,-46.65831850,2483220,2110730,2855700
38,38,"Alameda Franca, 432",Torre única,Apartamento,4,3,323,-23.56578890,-46.65877260,4554330,3871180,5237480
39,39,"Alameda Itu, 483",Torre única,Apartamento,4,2,182,-23.56491010,-46.65849150,2245630,1908790,2582470
40,40,"Avenida Nove de Julho, 2886",Torre única,Apartamento,4,1,237,-23.56564500,-46.65803400,2396430,2036970,2755900
41,41,"Alameda Casa Branca, 471",Torre única,Apartamento,3,3,225,-23.56513470,-46.65890020,2654700,2256490,3052900
42,42,"Alameda Casa Branca, 471",Torre única,Cobertura,3,4,480,-23.56513470,-46.65890020,5663350,4813850,6512860
43,43,"Alameda Franca, 406",Torre única,Apartamento,2,2,70,-23.56589690,-46.65877330,860776,731659,989892
44,44,"Alameda Franca, 406",Torre única,Cobertura,2,1,130,-23.56589690,-46.65877330,1598580,1358800,1838370
45,45,"Alameda Casa Branca, 491",Torre única,Apartamento,3,3,163,-23.56526570,-46.65903670,2230800,1896180,2565420
46,46,"Alameda Casa Branca, 491",Torre única,Cobertura,4,3,380,-23.56526570,-46.65903670,5200640,4420550,5980740
47,47,"Alameda Itu, 395",Torre única,Apartamento,1,-1,34,-23.56546250,-46.65797320,516015,428292,608898
48,48,"Alameda Itu, 395",Torre única,Apartamento,1,-1,37,-23.56546250,-46.65797320,561546,466083,662624
49,49,"Alameda Itu, 395",Torre única,Apartamento,1,-1,41,-23.56546250,-46.65797320,622253,516470,734259
50,50,"Alameda Itu, 395",Torre única,Apartamento,1,-1,44,-23.56546250,-46.65797320,667784,554261,787985
51,51,"Alameda Itu, 395",Torre única,Apartamento,1,-1,46,-23.56546250,-46.65797320,698138,579455,823803
52,52,"Alameda Casa Branca, 487",Torre única,Apartamento,4,3,190,-23.56523950,-46.65900940,2561330,2177130,2945530
53,53,"Alameda Casa Branca, 487",Torre única,Cobertura,4,4,421,-23.56523950,-46.65900940,5675370,4824060,6526680
54,54,"Avenida Nove de Julho, 2861",Torre única,Apartamento,3,2,240,-23.56589820,-46.65762310,2661870,2262590,3061150
55,55,"Alameda Franca, 302",Torre única,Apartamento,3,1,108,-23.56668720,-46.65792530,1188480,1010210,1366760
56,56,"Alameda Franca, 270",Torre única,Apartamento,3,1,163,-23.56687740,-46.65768820,1715550,1458220,1972890
